00:16:44.002 [ApplicationImpl pooled thread 160] INFO  com.browserstack.utils.Helpers - null
00:16:44.003 [ApplicationImpl pooled thread 160] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
00:16:53.170 [ApplicationImpl pooled thread 159] INFO  c.b.l.BrowserStackRunExtension - testng
00:16:53.170 [ApplicationImpl pooled thread 159] INFO  com.browserstack.utils.Helpers - null
00:16:53.170 [ApplicationImpl pooled thread 159] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
00:17:07.432 [ApplicationImpl pooled thread 157] INFO  c.b.l.BrowserStackRunExtension - testng
00:17:07.432 [ApplicationImpl pooled thread 157] INFO  com.browserstack.utils.Helpers - null
00:17:07.433 [ApplicationImpl pooled thread 157] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
00:18:31.499 [ApplicationImpl pooled thread 157] INFO  c.b.l.BrowserStackRunExtension - testng
00:18:31.499 [ApplicationImpl pooled thread 157] INFO  com.browserstack.utils.Helpers - null
00:18:31.500 [ApplicationImpl pooled thread 157] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
00:21:38.123 [ApplicationImpl pooled thread 164] INFO  c.b.l.BrowserStackRunExtension - testng
00:21:38.123 [ApplicationImpl pooled thread 164] INFO  com.browserstack.utils.Helpers - null
00:21:38.123 [ApplicationImpl pooled thread 164] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
00:24:53.613 [ApplicationImpl pooled thread 146] INFO  c.b.l.BrowserStackRunExtension - testng
00:24:53.613 [ApplicationImpl pooled thread 146] INFO  com.browserstack.utils.Helpers - null
00:24:53.615 [ApplicationImpl pooled thread 146] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
01:00:40.966 [ApplicationImpl pooled thread 186] INFO  c.b.l.BrowserStackRunExtension - testng
01:00:40.966 [ApplicationImpl pooled thread 186] INFO  com.browserstack.utils.Helpers - null
01:00:40.966 [ApplicationImpl pooled thread 186] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
01:01:12.270 [ApplicationImpl pooled thread 181] INFO  c.b.l.BrowserStackRunExtension - testng
01:01:12.271 [ApplicationImpl pooled thread 181] INFO  com.browserstack.utils.Helpers - null
01:01:12.272 [ApplicationImpl pooled thread 181] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
01:02:57.188 [ApplicationImpl pooled thread 188] INFO  c.b.l.BrowserStackRunExtension - testng
01:02:57.188 [ApplicationImpl pooled thread 188] INFO  com.browserstack.utils.Helpers - null
01:02:57.189 [ApplicationImpl pooled thread 188] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
01:03:14.660 [ApplicationImpl pooled thread 190] INFO  c.b.l.BrowserStackRunExtension - testng
01:03:14.660 [ApplicationImpl pooled thread 190] INFO  com.browserstack.utils.Helpers - null
01:03:14.660 [ApplicationImpl pooled thread 190] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
01:03:43.761 [ApplicationImpl pooled thread 189] INFO  c.b.l.BrowserStackRunExtension - testng
01:03:43.762 [ApplicationImpl pooled thread 189] INFO  com.browserstack.utils.Helpers - null
01:03:43.763 [ApplicationImpl pooled thread 189] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
01:04:16.188 [ApplicationImpl pooled thread 189] INFO  c.b.l.BrowserStackRunExtension - testng
01:04:16.189 [ApplicationImpl pooled thread 189] INFO  com.browserstack.utils.Helpers - null
01:04:16.189 [ApplicationImpl pooled thread 189] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
01:05:07.838 [ApplicationImpl pooled thread 185] INFO  c.b.l.BrowserStackRunExtension - testng
01:05:07.838 [ApplicationImpl pooled thread 185] INFO  com.browserstack.utils.Helpers - null
01:05:07.838 [ApplicationImpl pooled thread 185] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
01:05:56.942 [ApplicationImpl pooled thread 191] INFO  c.b.l.BrowserStackRunExtension - testng
01:05:56.943 [ApplicationImpl pooled thread 191] INFO  com.browserstack.utils.Helpers - null
01:05:56.943 [ApplicationImpl pooled thread 191] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
01:06:41.673 [ApplicationImpl pooled thread 189] INFO  c.b.l.BrowserStackRunExtension - testng
01:06:41.673 [ApplicationImpl pooled thread 189] INFO  com.browserstack.utils.Helpers - null
01:06:41.674 [ApplicationImpl pooled thread 189] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
01:10:34.840 [ApplicationImpl pooled thread 193] INFO  c.b.l.BrowserStackRunExtension - testng
01:10:34.841 [ApplicationImpl pooled thread 193] INFO  com.browserstack.utils.Helpers - null
01:10:34.841 [ApplicationImpl pooled thread 193] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:42:38.603 [ApplicationImpl pooled thread 11] INFO  c.b.l.BrowserStackRunExtension - testng
11:42:38.604 [ApplicationImpl pooled thread 11] INFO  com.browserstack.utils.Helpers - null
11:42:38.604 [ApplicationImpl pooled thread 11] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
